Freq.	V(n003)
1.00000000000000e+01	-1.37111308470493e-12,-7.35725548795880e-10
1.12201845430196e+01	-2.17306752806568e-12,-1.03923948245005e-09
1.25892541179417e+01	-3.44407940129462e-12,-1.46796393722013e-09
1.41253754462275e+01	-5.45849693853153e-12,-2.07355266465858e-09
1.58489319246111e+01	-8.65113252621293e-12,-2.92896830292787e-09
1.77827941003892e+01	-1.37111168324111e-11,-4.13727291727247e-09
1.99526231496888e+01	-2.17306473177709e-11,-5.84404483204941e-09
2.23872113856834e+01	-3.44407382196373e-11,-8.25491762955742e-09
2.51188643150958e+01	-5.45848580629873e-11,-1.16603542129687e-08
2.81838293126445e+01	-8.65111031447796e-11,-1.64706403331868e-08
3.16227766016838e+01	-1.37110725141473e-10,-2.32653128951149e-08
3.54813389233575e+01	-2.17305588911439e-10,-3.28629768700348e-08
3.98107170553497e+01	-3.44405617851563e-10,-4.64199199914965e-08
4.46683592150963e+01	-5.45845060295033e-10,-6.55694020440498e-08
5.01187233627272e+01	-8.65104007445977e-10,-9.26183925707765e-08
5.62341325190348e+01	-1.37109323666254e-09,-1.30825446011688e-07
6.30957344480192e+01	-2.17302792594199e-09,-1.84793167628481e-07
7.07945784384137e+01	-3.44400038448703e-09,-2.61022509641588e-07
7.94328234724280e+01	-5.45833927881438e-09,-3.68695598910930e-07
8.91250938133744e+01	-8.65081795256831e-09,-5.20781267826547e-07
9.99999999999998e+01	-1.37104891725776e-08,-7.35596226788798e-07
1.12201845430196e+02	-2.17293949644845e-08,-1.03900951178343e-06
1.25892541179416e+02	-3.44382394280437e-08,-1.46755498510932e-06
1.41253754462275e+02	-5.45798722723646e-08,-2.07282543351873e-06
1.58489319246111e+02	-8.65011550692377e-08,-2.92767508271634e-06
1.77827941003892e+02	-1.37090875831207e-07,-4.13497321028461e-06
1.99526231496888e+02	-2.17265983601676e-07,-5.83995531020250e-06
2.23872113856833e+02	-3.44326593036791e-07,-8.24764531645217e-06
2.51188643150957e+02	-5.45687380451704e-07,-1.16474220068843e-05
2.81838293126445e+02	-8.64789383205444e-07,-1.64476432540054e-05
3.16227766016837e+02	-1.37046544960742e-06,-2.32244176546456e-05
3.54813389233575e+02	-2.17177525267744e-06,-3.27902536864273e-05
3.98107170553496e+02	-3.44150078784243e-06,-4.62905978037088e-05
4.46683592150962e+02	-5.45335146187891e-06,-6.53394309419412e-05
5.01187233627271e+02	-8.64086477415089e-06,-9.22094393981102e-05
5.62341325190348e+02	-1.36906270033653e-05,-1.30098212250637e-04
6.30957344480192e+02	-2.16897572246599e-05,-1.83499940864627e-04
7.07945784384136e+02	-3.43591327425283e-05,-2.58722786068911e-04
7.94328234724279e+02	-5.44219854841622e-05,-3.64606034578869e-04
