Freq.	V(n003)
1.00000000000000e+01	9.99998655189240e-01,-1.78893698215534e-03
1.12201845430196e+01	9.99998306983452e-01,-2.00722026464585e-03
1.25892541179417e+01	9.99997868618274e-01,-2.25213811816161e-03
1.41253754462275e+01	9.99997316749111e-01,-2.52694044458656e-03
1.58489319246111e+01	9.99996621986837e-01,-2.83527369079627e-03
1.77827941003892e+01	9.99995747332705e-01,-3.18122923322196e-03
1.99526231496888e+01	9.99994646207990e-01,-3.56939766571164e-03
2.23872113856834e+01	9.99993259973472e-01,-4.00492971078794e-03
2.51188643150958e+01	9.99991514806605e-01,-4.49360456218067e-03
2.81838293126445e+01	9.99989317770097e-01,-5.04190656496498e-03
3.16227766016838e+01	9.99986551862483e-01,-5.65711125005095e-03
3.54813389233575e+01	9.99983069787100e-01,-6.34738186358700e-03
3.98107170553497e+01	9.99978686107576e-01,-7.12187767066182e-03
4.46683592150963e+01	9.99973167371979e-01,-7.99087546830911e-03
5.01187233627272e+01	9.99966219679569e-01,-8.96590591722450e-03
5.62341325190348e+01	9.99957473027798e-01,-1.00599064970067e-02
6.30957344480192e+01	9.99946461605604e-01,-1.12873931085778e-02
7.07945784384137e+01	9.99932598982962e-01,-1.26646525924196e-02
7.94328234724280e+01	9.99915146874512e-01,-1.42099587053368e-02
8.91250938133744e+01	9.99893175812325e-01,-1.59438144048552e-02
9.99999999999998e+01	9.99865515631165e-01,-1.78892236325616e-02
1.12201845430196e+02	9.99830693125653e-01,-2.00719961694263e-02
1.25892541179416e+02	9.99786853553456e-01,-2.25210895613393e-02
1.41253754462275e+02	9.99731661794869e-01,-2.52689925857827e-02
1.58489319246111e+02	9.99662177890242e-01,-2.83521552548094e-02
1.77827941003892e+02	9.99574700303452e-01,-3.18114709291542e-02
1.99526231496888e+02	9.99464568526850e-01,-3.56928167567821e-02
2.23872113856833e+02	9.99325914455510e-01,-4.00476593490601e-02
2.51188643150957e+02	9.99151349194562e-01,-4.49337333702565e-02
2.81838293126445e+02	9.98931568467570e-01,-5.04158015404443e-02
3.16227766016837e+02	9.98654855366908e-01,-5.65665054345295e-02
3.54813389233575e+02	9.98306453571559e-01,-6.34673173936686e-02
3.98107170553496e+02	9.97867777019166e-01,-7.12096048378369e-02
4.46683592150962e+02	9.97315412918721e-01,-7.98958192626858e-02
5.01187233627271e+02	9.96619863345518e-01,-8.96408231985963e-02
5.62341325190348e+02	9.95743955686004e-01,-1.00573369382055e-01
6.30957344480192e+02	9.94640832819084e-01,-1.12837747322544e-01
7.07945784384136e+02	9.93251408617267e-01,-1.26595613347727e-01
7.94328234724279e+02	9.91501140936705e-01,-1.42028021133182e-01
8.91250938133743e+02	9.89295929475073e-01,-1.59337670828092e-01
9.99999999999997e+02	9.86516884671761e-01,-1.78751396502668e-01
1.12201845430196e+03	9.83013628148989e-01,-2.00522914337214e-01
1.25892541179416e+03	9.78595661711743e-01,-2.24935858557733e-01
1.41253754462275e+03	9.73021157870040e-01,-2.52307139318941e-01
1.58489319246111e+03	9.65982240276381e-01,-2.82990665794563e-01
1.77827941003892e+03	9.57085365781775e-01,-3.17381482114302e-01
1.99526231496887e+03	9.45824660601462e-01,-3.55920338984350e-01
2.23872113856833e+03	9.31544761584427e-01,-3.99098595015836e-01
2.51188643150957e+03	9.13387428124036e-01,-4.47462900165987e-01
2.81838293126444e+03	8.90212114479706e-01,-5.01617803257668e-01
3.16227766016837e+03	8.60473395685526e-01,-5.62220801522672e-01
3.54813389233574e+03	8.22025265565165e-01,-6.29954702682097e-01
3.98107170553496e+03	7.71800750172793e-01,-7.05437032995103e-01
4.46683592150961e+03	7.05284294436968e-01,-7.88961696046482e-01
5.01187233627270e+03	6.15672873712498e-01,-8.79805923294736e-01
5.62341325190347e+03	4.92722354187322e-01,-9.74450001802232e-01
6.30957344480190e+03	3.21976207109490e-01,-1.06228812272280e+00
7.07945784384135e+03	8.79140446667359e-02,-1.11678678503246e+00
7.94328234724278e+03	-2.08299732368848e-01,-1.08473424800738e+00
8.91250938133741e+03	-5.06647856295515e-01,-9.01382631390732e-01
9.99999999999995e+03	-6.78241399143334e-01,-5.76890883840352e-01
1.12201845430196e+04	-6.53946804860672e-01,-2.48726274956751e-01
1.25892541179416e+04	-5.12799368247970e-01,-3.55626283675037e-02
1.41253754462275e+04	-3.59464551651198e-01,6.17480425863350e-02
1.58489319246111e+04	-2.38754995151297e-01,9.06418841544892e-02
1.77827941003891e+04	-1.54724325990822e-01,8.85844960502279e-02
1.99526231496887e+04	-9.91465462163753e-02,7.54557879305528e-02
2.23872113856833e+04	-6.31920513542959e-02,6.01727749917203e-02
2.51188643150957e+04	-4.01634642309006e-02,4.62376881888164e-02
2.81838293126444e+04	-2.54848756379701e-02,3.47202869035835e-02
3.16227766016836e+04	-1.61529066225450e-02,2.56753293072668e-02
3.54813389233573e+04	-1.02295629898882e-02,1.87847462091767e-02
3.98107170553495e+04	-6.47402892748054e-03,1.36376613693670e-02
4.46683592150960e+04	-4.09500507983043e-03,9.84440027907514e-03
5.01187233627269e+04	-2.58902706815763e-03,7.07561112792736e-03
5.62341325190346e+04	-1.63626793240320e-03,5.06880825002856e-03
6.30957344480189e+04	-1.03379934824306e-03,3.62194782000441e-03
7.07945784384133e+04	-6.52989486152944e-04,2.58297026974485e-03
7.94328234724276e+04	-4.12367643477182e-04,1.83918560492518e-03
8.91250938133740e+04	-2.60368521559253e-04,1.30799320055737e-03
9.99999999999993e+04	-1.64373583247875e-04,9.29333426377528e-04
1.12201845430196e+05	-1.03759259061229e-04,6.59798651198305e-04
1.25892541179416e+05	-6.54911345992500e-05,4.68159380630837e-04
1.41253754462274e+05	-4.13339318827586e-05,3.32026243792837e-04
1.58489319246110e+05	-2.60858948423538e-05,2.35391050692071e-04
1.77827941003891e+05	-1.64620767582155e-05,1.66832189926552e-04
1.99526231496886e+05	-1.03883704145585e-05,1.18213916025609e-04
2.23872113856832e+05	-6.55537297030420e-06,8.37485231470776e-05
2.51188643150956e+05	-4.13653939132669e-06,5.93228620635522e-05
2.81838293126443e+05	-2.61016993147934e-06,4.20161795440707e-05
3.16227766016835e+05	-1.64700121977709e-06,2.97557545767821e-05
3.54813389233573e+05	-1.03923533250938e-06,2.10714091540721e-05
3.98107170553494e+05	-6.55737145774553e-07,1.49207601833484e-05
4.46683592150960e+05	-4.13754192686833e-07,1.05649702557763e-05
5.01187233627268e+05	-2.61067275607771e-07,7.48048391340535e-06
5.62341325190344e+05	-1.64725337519600e-07,5.29637187469500e-06
6.30957344480188e+05	-1.03936176783576e-07,3.74987863554086e-06
7.07945784384132e+05	-6.55800536756559e-08,2.65489887229755e-06
7.94328234724275e+05	-4.13785972684665e-08,1.87963024134065e-06
8.91250938133738e+05	-2.61083207020335e-08,1.33073578825360e-06
1.00000000000000e+06	-1.64733323607223e-08,9.42122241031748e-07
