Freq.	V(v_out)
1.00000000000000e+00	-7.89569566515183e-07,1.47234712965385e-09
1.12201845430196e+00	-9.94008988451176e-07,1.94048432414637e-09
1.25892541179417e+00	-1.25138285304022e-06,2.58475324230060e-09
1.41253754462275e+00	-1.57539716312456e-06,3.47574144135563e-09
1.58489319246111e+00	-1.98330671331463e-06,4.71290350448823e-09
1.77827941003892e+00	-2.49683393857604e-06,6.43643890294861e-09
1.99526231496888e+00	-3.14332566215468e-06,8.84406615659107e-09
2.23872113856834e+00	-3.95720933288771e-06,1.22147127393906e-08
2.51188643150958e+00	-4.98182628441741e-06,1.69419732173654e-08
2.81838293126445e+00	-6.27173961642136e-06,2.35813648086318e-08
3.16227766016838e+00	-7.89563955716684e-06,3.29170716643695e-08
3.54813389233575e+00	-9.94000095914706e-06,4.60562169792232e-08
3.98107170553497e+00	-1.25136875927955e-05,6.45620183767743e-08
4.46683592150963e+00	-1.57537482593910e-05,9.06418664687831e-08
5.01187233627272e+00	-1.98327131110160e-05,1.27412983437879e-07
5.62341325190348e+00	-2.49677782953065e-05,1.79277665177706e-07
6.30957344480192e+00	-3.14323673467422e-05,2.52453313050566e-07
7.07945784384137e+00	-3.95706839105954e-05,3.55721110378799e-07
7.94328234724280e+00	-4.98160290413997e-05,5.01483541274713e-07
8.91250938133744e+00	-6.27138557748555e-05,7.07258159167953e-07
9.99999999999998e+00	-7.89507843318235e-05,9.97787572550313e-07
1.12201845430196e+01	-9.93911161744186e-05,1.40801985872332e-06
1.25892541179416e+01	-1.25122780410342e-04,1.98731848771462e-06
1.41253754462275e+01	-1.57515141903012e-04,2.80540897336554e-06
1.58489319246111e+01	-1.98291721903174e-04,3.96077871457280e-06
1.77827941003892e+01	-2.49621659953695e-04,5.59254205719264e-06
1.99526231496888e+01	-3.14234718147089e-04,7.89720010649579e-06
2.23872113856833e+01	-3.95565841734943e-04,1.11523145506627e-05
2.51188643150957e+01	-4.97936799326554e-04,1.57499477650407e-05
2.81838293126445e+01	-6.26784297749223e-04,2.22438981043213e-05
3.16227766016837e+01	-7.88946278333159e-04,3.14164212870961e-05
3.54813389233575e+01	-9.93020940326072e-04,4.43724762976064e-05
3.98107170553496e+01	-1.24981649758408e-03,6.26728499228087e-05
4.46683592150962e+01	-1.57291384999417e-03,8.85221969624364e-05
5.01187233627271e+01	-1.97936931818110e-03,1.25034646514480e-04
5.62341325190347e+01	-2.49059038030710e-03,1.76608963076678e-04
6.30957344480191e+01	-3.13342389676882e-03,2.49458434462895e-04
7.07945784384136e+01	-3.94150335663419e-03,3.52359263362228e-04
7.94328234724279e+01	-4.95690862582934e-03,4.97707480866964e-04
8.91250938133743e+01	-6.23219730085938e-03,7.03011380413762e-04
9.99999999999997e+01	-7.83286877406134e-03,9.92998510361285e-04
1.12201845430196e+02	-9.84031633420862e-03,1.40258933051338e-03
1.25892541179416e+02	-1.23553016962163e-02,1.98109185693413e-03
1.41253754462275e+02	-1.55019374334026e-02,2.79811378408294e-03
1.58489319246111e+02	-1.94320636749201e-02,3.95188440398374e-03
1.77827941003892e+02	-2.43297179923415e-02,5.58094411516242e-03
1.99526231496887e+02	-3.04150565169117e-02,7.88050942803221e-03
2.23872113856833e+02	-3.79464797847175e-02,1.11252605713169e-02
2.51188643150957e+02	-4.72186648509943e-02,1.57007966157564e-02
