Freq.	V(v_out)
1.00000000000000e+00	9.99961588291188e-01,-1.25763930954217e-03
1.12201845430196e+00	9.99961383828059e-01,-1.41109451481940e-03
1.25892541179417e+00	9.99961126424111e-01,-1.58327408732021e-03
1.41253754462275e+00	9.99960802371550e-01,-1.77646274550268e-03
1.58489319246111e+00	9.99960394413246e-01,-1.99322398568561e-03
1.77827941003892e+00	9.99959880823694e-01,-2.23643409811105e-03
1.99526231496888e+00	9.99959234252001e-01,-2.50932033360194e-03
2.23872113856834e+00	9.99958420265270e-01,-2.81550372726710e-03
2.51188643150958e+00	9.99957395514793e-01,-3.15904714750380e-03
2.81838293126445e+00	9.99956105427375e-01,-3.54450920788664e-03
3.16227766016838e+00	9.99954481298779e-01,-3.97700475733164e-03
3.54813389233575e+00	9.99952436634471e-01,-4.46227275121821e-03
3.98107170553497e+00	9.99949862542657e-01,-5.00675240409835e-03
4.46683592150963e+00	9.99946621934105e-01,-5.61766863452160e-03
5.01187233627272e+00	9.99942542219611e-01,-6.30312793581540e-03
5.62341325190348e+00	9.99937406115752e-01,-7.07222594501961e-03
6.30957344480192e+00	9.99930940068631e-01,-7.93516813741828e-03
7.07945784384137e+00	9.99922799678014e-01,-8.90340524829984e-03
7.94328234724280e+00	9.99912551343881e-01,-9.98978521901995e-03
8.91250938133744e+00	9.99899649155248e-01,-1.12087236837268e-02
9.99999999999998e+00	9.99883405786082e-01,-1.25763952591367e-02
1.12201845430196e+01	9.99862955841451e-01,-1.41109481757620e-02
1.25892541179416e+01	9.99837209690894e-01,-1.58327450986110e-02
1.41253754462275e+01	9.99804795312960e-01,-1.77646333326262e-02
1.58489319246111e+01	9.99763985026207e-01,-1.99322479974525e-02
1.77827941003892e+01	9.99712603160840e-01,-2.23643521924014e-02
1.99526231496888e+01	9.99647909684582e-01,-2.50932186609424e-02
2.23872113856833e+01	9.99566453475218e-01,-2.81550580102050e-02
2.51188643150957e+01	9.99463887251484e-01,-3.15904991502457e-02
2.81838293126445e+01	9.99334734030483e-01,-3.54451282950554e-02
3.16227766016837e+01	9.99172092237484e-01,-3.97700936155622e-02
3.54813389233575e+01	9.98967263072736e-01,-4.46227834535967e-02
3.98107170553496e+01	9.98709279198202e-01,-5.00675868868870e-02
4.46683592150962e+01	9.98384307918346e-01,-5.61767463564828e-02
5.01187233627271e+01	9.97974894346646e-01,-6.30313129813245e-02
5.62341325190347e+01	9.97458999956381e-01,-7.07222159941419e-02
6.30957344480191e+01	9.96808778549050e-01,-7.93514582566887e-02
7.07945784384136e+01	9.95989013822713e-01,-8.90334497143304e-02
7.94328234724279e+01	9.94955118662651e-01,-9.98964893177637e-02
8.91250938133743e+01	9.93650563548412e-01,-1.12084402267815e-01
9.99999999999997e+01	9.92003556559403e-01,-1.25758331444572e-01
1.12201845430196e+02	9.89922735356660e-01,-1.41098666020972e-01
1.25892541179416e+02	9.87291545159914e-01,-1.58307060222106e-01
1.41253754462275e+02	9.83960856386392e-01,-1.77608439769062e-01
1.58489319246111e+02	9.79739208384024e-01,-1.99252792912796e-01
1.77827941003892e+02	9.74379835871430e-01,-2.23516362206983e-01
1.99526231496887e+02	9.67563326495816e-01,-2.50701531251930e-01
2.23872113856833e+02	9.58874364364393e-01,-2.81134132059971e-01
2.51188643150957e+02	9.47770560923433e-01,-3.15155904439979e-01
2.81838293126444e+02	9.33540975541016e-01,-3.53108124656809e-01
3.16227766016837e+02	9.15251913979242e-01,-3.95299530025068e-01
3.54813389233574e+02	8.91678778221916e-01,-4.41946968384482e-01
3.98107170553496e+02	8.61226946858743e-01,-4.93070056001911e-01
4.46683592150961e+02	8.21855600301357e-01,-5.48311621056924e-01
5.01187233627270e+02	7.71042704119543e-01,-6.06646912655558e-01
5.62341325190347e+02	7.05876187283484e-01,-6.65948023647002e-01
6.30957344480191e+02	6.23429815660998e-01,-7.22415769611925e-01
7.07945784384135e+02	5.21653367734193e-01,-7.70035610279758e-01
7.94328234724278e+02	4.00953252617938e-01,-8.00507792712114e-01
8.91250938133742e+02	2.66210469711940e-01,-8.04436353494723e-01
9.99999999999995e+02	1.28038386111001e-01,-7.74406327054846e-01
1.12201845430196e+03	1.33964306516708e-03,-7.09175352280562e-01
1.25892541179416e+03	-9.95680459353313e-02,-6.16102169674289e-01
1.41253754462275e+03	-1.66643566404214e-01,-5.09049081783594e-01
1.58489319246111e+03	-2.00422158060425e-01,-4.02761202361062e-01
1.77827941003891e+03	-2.07743795480294e-01,-3.07896420269101e-01
1.99526231496887e+03	-1.97584055682482e-01,-2.29447791637500e-01
2.23872113856833e+03	-1.77923090625817e-01,-1.67930838767703e-01
2.51188643150957e+03	-1.54505849804179e-01,-1.21394608358394e-01
2.81838293126444e+03	-1.30890794529138e-01,-8.70183699706375e-02
3.16227766016836e+03	-1.08993698200162e-01,-6.20145096402016e-02
3.54813389233573e+03	-8.96624387690296e-02,-4.40073658451095e-02
3.98107170553495e+03	-7.31182100632106e-02,-3.11202103624163e-02
4.46683592150961e+03	-5.92483354322959e-02,-2.19328382930249e-02
5.01187233627269e+03	-4.77843604883951e-02,-1.53976063772249e-02
5.62341325190346e+03	-3.84034537720231e-02,-1.07536017568332e-02
6.30957344480189e+03	-3.07824105122397e-02,-7.45341209548485e-03
7.07945784384134e+03	-2.46238363809852e-02,-5.10552075140640e-03
7.94328234724277e+03	-1.96666849339256e-02,-3.43089804525308e-03
8.91250938133740e+03	-1.56884001979596e-02,-2.23108177604532e-03
9.99999999999994e+03	-1.25028530324573e-02,-1.36504473180438e-03
1.12201845430196e+04	-9.95642343366909e-03,-7.32577108968525e-04
1.25892541179416e+04	-7.92350555917615e-03,-2.62412826100680e-04
1.41253754462275e+04	-6.30209403324490e-03,9.62271694604698e-05
1.58489319246110e+04	-5.00976135803656e-03,3.79646760383957e-04
1.77827941003891e+04	-3.98014436387823e-03,6.13944595485058e-04
1.99526231496887e+04	-3.15995603031458e-03,8.18046305159417e-04
2.23872113856832e+04	-2.50648871882560e-03,1.00585891320553e-03
2.51188643150956e+04	-1.98555318728719e-03,1.18780361522052e-03
2.81838293126443e+04	-1.56979157798287e-03,1.37190894218163e-03
3.16227766016836e+04	-1.23730435513228e-03,1.56459352847543e-03
3.54813389233573e+04	-9.70536652893026e-04,1.77123019967929e-03
