Freq.	V(n003)
1.00000000000000e+01	-3.30132100296421e-12,-1.13777173213327e-09
1.12201845430196e+01	-4.64197233580666e-12,-1.60714547826506e-09
1.25892541179417e+01	-6.61392669394431e-12,-2.27015366455508e-09
1.41253754462275e+01	-9.54685689044528e-12,-3.20667788223317e-09
1.58489319246111e+01	-1.39530137029170e-11,-4.52955396732938e-09
1.77827941003892e+01	-2.06313624631599e-11,-6.39816693340366e-09
1.99526231496888e+01	-3.08319425310022e-11,-9.03765437852921e-09
2.23872113856834e+01	-4.65154967840548e-11,-1.27660321148203e-08
2.51188643150958e+01	-7.07638720694463e-11,-1.80325103095942e-08
2.81838293126445e+01	-1.08429097785253e-10,-2.54716167774662e-08
3.16227766016838e+01	-1.67160397212847e-10,-3.59796487033109e-08
3.54813389233575e+01	-2.59029751673367e-10,-5.08226645330372e-08
3.98107170553497e+01	-4.03105577564003e-10,-7.17890282840332e-08
4.46683592150963e+01	-6.29528418887752e-10,-1.01404887152031e-07
5.01187233627272e+01	-9.85966414056468e-10,-1.43238547128643e-07
5.62341325190348e+01	-1.54784159105030e-09,-2.02330424604964e-07
6.30957344480192e+01	-2.43453163387450e-09,-2.85800386253322e-07
7.07945784384137e+01	-3.83504139965725e-09,-4.03705669817727e-07
7.94328234724280e+01	-6.04868282622214e-09,-5.70252783504730e-07
8.91250938133744e+01	-9.54954288002303e-09,-8.05509455503452e-07
9.99999999999998e+01	-1.50886577671824e-08,-1.13782299787921e-06
1.12201845430196e+02	-2.38559596585421e-08,-1.60723664026282e-06
1.25892541179416e+02	-3.77369839361297e-08,-2.27031576973706e-06
1.41253754462275e+02	-5.97198207227813e-08,-3.20696613638145e-06
1.58489319246111e+02	-9.45403105055240e-08,-4.53006653202879e-06
1.77827941003892e+02	-1.49705083242654e-07,-6.39907834559485e-06
1.99526231496888e+02	-2.37113950578795e-07,-9.03927496482740e-06
2.23872113856833e+02	-3.75633240767831e-07,-1.27689136131549e-05
2.51188643150957e+02	-5.95178350989310e-07,-1.80376336185200e-05
2.81838293126445e+02	-9.43192410438950e-07,-2.54807256573377e-05
3.16227766016837e+02	-1.49493086451531e-06,-3.59958428089400e-05
3.54813389233575e+02	-2.36979474618940e-06,-5.08514531331849e-05
3.98107170553496e+02	-3.75728394052263e-06,-7.18402021343074e-05
4.46683592150962e+02	-5.95826418241101e-06,-1.01495842838745e-04
5.01187233627271e+02	-9.45063919000004e-06,-1.43400188792787e-04
5.62341325190348e+02	-1.49939723480344e-05,-2.02617636416231e-04
6.30957344480192e+02	-2.37963820915018e-05,-2.86310604296761e-04
7.07945784384136e+02	-3.77812277077939e-05,-4.04611791252630e-04
7.94328234724279e+02	-6.00141592507934e-05,-5.71861419672167e-04
8.91250938133743e+02	-9.53887957069440e-05,-8.08363900968639e-04
9.99999999999997e+02	-1.51731381142716e-04,-1.14288488987084e-03
1.12201845430196e+03	-2.41588011712231e-04,-1.61620559170389e-03
1.25892541179416e+03	-3.85131718680432e-04,-2.28618965415651e-03
1.41253754462275e+03	-6.14923081569349e-04,-3.23501786011263e-03
1.58489319246111e+03	-9.83772570466232e-04,-4.57953302555616e-03
1.77827941003892e+03	-1.57786461976353e-03,-6.48604417522067e-03
1.99526231496887e+03	-2.53895919647364e-03,-9.19149396553910e-03
2.23872113856833e+03	-4.10258012844810e-03,-1.30335805525093e-02
2.51188643150957e+03	-6.66506962958327e-03,-1.84930379148210e-02
2.81838293126444e+03	-1.09043294495300e-02,-2.62509233210368e-02
3.16227766016837e+03	-1.80038536239376e-02,-3.72591647394922e-02
3.54813389233574e+03	-3.00828397743881e-02,-5.28021893479149e-02
3.98107170553496e+03	-5.10510948143473e-02,-7.44494741690326e-02
4.46683592150961e+03	-8.83488051820164e-02,-1.03508258760134e-01
5.01187233627270e+03	-1.56389881308495e-01,-1.38495407634096e-01
5.62341325190347e+03	-2.81746125133966e-01,-1.65230783923121e-01
6.30957344480190e+03	-4.97244844973196e-01,-1.24671137044297e-01
7.07945784384135e+03	-7.49552242879415e-01,1.26285041649540e-01
