Freq.	V(n003)
1.00000000000000e+01	9.99999808850620e-01,-5.27595640051325e-04
1.12201845430196e+01	9.99999759357197e-01,-5.91972023407145e-04
1.25892541179417e+01	9.99999697048677e-01,-6.64203504832676e-04
1.41253754462275e+01	9.99999618606907e-01,-7.45248547655073e-04
1.58489319246111e+01	9.99999519854583e-01,-8.36182563930988e-04
1.77827941003892e+01	9.99999395532798e-01,-9.38212183737498e-04
1.99526231496888e+01	9.99999239020979e-01,-1.05269126532727e-03
2.23872113856834e+01	9.99999041984335e-01,-1.18113885846129e-03
2.51188643150958e+01	9.99998793929989e-01,-1.32525935909581e-03
2.81838293126445e+01	9.99998481648220e-01,-1.48696512260100e-03
3.16227766016838e+01	9.99998088509001e-01,-1.66840183520419e-03
3.54813389233575e+01	9.99997593576423e-01,-1.87197697979693e-03
3.98107170553497e+01	9.99996970493819e-01,-2.10039177308957e-03
4.46683592150963e+01	9.99996186080236e-01,-2.35667699685405e-03
5.01187233627272e+01	9.99995198563536e-01,-2.64423319723657e-03
5.62341325190348e+01	9.99993955356035e-01,-2.96687578347394e-03
6.30957344480192e+01	9.99992390254270e-01,-3.32888562149868e-03
7.07945784384137e+01	9.99990419913831e-01,-3.73506578961641e-03
7.94328234724280e+01	9.99987939411603e-01,-4.19080524348829e-03
8.91250938133744e+01	9.99984816659245e-01,-4.70215022690871e-03
9.99999999999998e+01	9.99980885370612e-01,-5.27588436422447e-03
1.12201845430196e+02	9.99975936208955e-01,-5.91961848060378e-03
1.25892541179416e+02	9.99969705643017e-01,-6.64189131861327e-03
1.41253754462275e+02	9.99961861919432e-01,-7.45228245449881e-03
1.58489319246111e+02	9.99951987405789e-01,-8.36153886582152e-03
1.77827941003892e+02	9.99939556366253e-01,-9.38171676400360e-03
1.99526231496888e+02	9.99923906989687e-01,-1.05263404807255e-02
2.23872113856833e+02	9.99904206186157e-01,-1.18105803850532e-02
2.51188643150957e+02	9.99879405285824e-01,-1.32514520065567e-02
2.81838293126445e+02	9.99848184294800e-01,-1.48680387446523e-02
3.16227766016837e+02	9.99808881761280e-01,-1.66817407495494e-02
3.54813389233575e+02	9.99759406551656e-01,-1.87165527553507e-02
3.98107170553496e+02	9.99697126893229e-01,-2.09993738155328e-02
4.46683592150962e+02	9.99618730861497e-01,-2.35603520119987e-02
