wavelength,fix
200.049,0.21113887
200.265,0.211887512
200.481,0.212637502
200.697,0.213388844
200.913,0.214141544
201.129,0.214895607
201.345,0.215651038
201.56,0.216404334
201.776,0.217162509
201.992,0.217922066
202.208,0.21868301
202.424,0.219445346
202.639,0.220205539
202.855,0.220970666
203.071,0.221737197
203.287,0.222505138
203.502,0.223270927
203.718,0.224041693
203.934,0.224813881
204.15,0.225587495
204.365,0.226358948
204.581,0.22713542
204.797,0.227913329
205.012,0.228689069
205.228,0.229469858
205.444,0.230252097
205.659,0.231032157
205.875,0.231817298
206.091,0.232603898
206.306,0.233388309
206.522,0.234177832
206.737,0.234965159
206.953,0.235757617
207.168,0.236547872
207.384,0.237343277
207.6,0.238140165
207.815,0.238934838
208.031,0.239734691
208.246,0.24053232
208.462,0.24133515
208.677,0.242135748
208.893,0.242941564
209.108,0.24374514
209.323,0.244550205
209.539,0.245360518
209.754,0.246168576
209.97,0.246981899
210.185,0.247792959
210.401,0.248609302
210.616,0.249423372
210.831,0.250238946
211.047,0.251059831
211.262,0.251878427
211.477,0.252698533
211.693,0.253523977
211.908,0.254347115
212.123,0.25517177
212.339,0.256001786
212.554,0.256829482
212.769,0.257658698
212.985,0.258493302
213.2,0.259325568
213.415,0.260159358
213.63,0.260994672
213.846,0.261835408
214.061,0.262673782
214.276,0.263513684
214.491,0.264355115
214.706,0.265198076
214.922,0.266046498
215.137,0.266892528
215.352,0.26774009
215.567,0.268589184
215.782,0.269439812
215.997,0.270291974
216.212,0.271145669
216.428,0.272004881
216.643,0.272861654
216.858,0.273719962
217.073,0.274579805
217.288,0.275441185
217.503,0.2763041
217.718,0.277168551
217.933,0.278034539
218.148,0.278902062
218.363,0.279771121
218.578,0.280641715
218.793,0.281513845
219.008,0.282387511
219.223,0.283262711
219.438,0.284139446
219.653,0.285017714
219.868,0.285897516
220.083,0.286778852
220.298,0.287661719
220.512,0.288542002
220.727,0.289427925
220.942,0.290315379
221.157,0.291204362
221.372,0.292094873
221.587,0.292986912
221.802,0.293880478
222.016,0.294771403
222.231,0.295668012
222.446,0.296566145
222.661,0.297465799
222.876,0.298366975
223.09,0.299265468
223.305,0.300169675
223.52,0.301075398
223.735,0.301982637
223.949,0.30288716
224.164,0.303797418
224.379,0.304709187
224.594,0.305622466
224.808,0.306532993
225.023,0.307449277
225.238,0.308367066
225.452,0.309282077
225.667,0.31020286
225.882,0.311125141
226.096,0.312044619
226.311,0.312969883
226.525,0.313892326
226.74,0.314820565
226.955,0.315750292
227.169,0.31667717
227.384,0.317609858
227.598,0.318539678
227.813,0.319475319
228.027,0.320408073
228.242,0.321346655
228.456,0.322282333
228.671,0.323223847
228.885,0.324162438
229.1,0.325106874
229.314,0.326048367
229.529,0.326995713
229.743,0.327940098
229.958,0.328890343
230.172,0.329837608
230.386,0.330786305
230.601,0.331740874
230.815,0.332692433
231.03,0.333649871
231.244,0.33460428
231.458,0.335560105
231.673,0.336521821
231.887,0.337480477
232.101,0.33844054
232.316,0.339406503
232.53,0.340369377
232.744,0.341333647
232.958,0.342299311
233.173,0.343270887
233.387,0.344239334
233.601,0.345209163
233.815,0.346180372
234.03,0.347157503
234.244,0.348131465
234.458,0.349106795
234.672,0.350083489
234.886,0.351061543
235.101,0.352045533
235.315,0.353026301
235.529,0.354008418
235.743,0.35499188
235.957,0.355976682
236.171,0.356962819
236.385,0.357950289
236.599,0.358939086
236.814,0.359933837
237.028,0.360925284
237.242,0.361918045
237.456,0.362912117
237.67,0.363907496
237.884,0.364904176
238.098,0.365902153
238.312,0.366901423
238.526,0.367901982
238.74,0.368903824
238.954,0.369906945
239.168,0.37091134
239.382,0.371917005
239.596,0.372923935
239.81,0.373932126
240.024,0.374941571
240.237,0.375947542
240.451,0.376959478
240.665,0.377972654
240.879,0.378987067
241.093,0.38000271
241.307,0.381019579
241.521,0.382037668
241.734,0.383052207
241.948,0.384072717
242.162,0.385094432
242.376,0.386117347
242.59,0.387141456
242.803,0.388161961
243.017,0.389188439
243.231,0.390216095
243.445,0.391244925
243.658,0.392270107
243.872,0.393301262
244.086,0.394333574
244.3,0.395367038
244.513,0.39639681
244.727,0.397432554
244.941,0.398469433
245.154,0.399502588
245.368,0.400541715
245.582,0.401581959
245.795,0.402618446
246.009,0.403660903
246.222,0.404699581
246.436,0.405744227
246.65,0.406789962
246.863,0.407831886
247.077,0.408879775
247.29,0.409923831
247.504,0.410973851
247.717,0.412020015
247.931,0.413072141
