Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,250
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.00000e-03,0,0
-1.99996e-03,0,0
-1.99992e-03,0,0
-1.99988e-03,0,0
-1.99984e-03,0,0
-1.99980e-03,0,-0.8
-1.99976e-03,0,-0.8
-1.99972e-03,0,0
-1.99968e-03,0,-0.8
-1.99964e-03,0,0
-1.99960e-03,0,-0.8
-1.99956e-03,0,0
-1.99952e-03,0,-0.8
-1.99948e-03,0,0
-1.99944e-03,0,-0.8
-1.99940e-03,0,0
-1.99936e-03,0,0
-1.99932e-03,0,0
-1.99928e-03,0,0
-1.99924e-03,0,0
-1.99920e-03,0,0
-1.99916e-03,0,0
-1.99912e-03,0,0
-1.99908e-03,0,-0.8
-1.99904e-03,0,0
-1.99900e-03,0,-0.8
-1.99896e-03,0,0
-1.99892e-03,0,0
-1.99888e-03,0,0
-1.99884e-03,0,0
-1.99880e-03,0,0
-1.99876e-03,0,0
-1.99872e-03,0,0
-1.99868e-03,0,0
-1.99864e-03,0,-0.8
-1.99860e-03,0,0
-1.99856e-03,0,0
-1.99852e-03,0,0
-1.99848e-03,0,0
-1.99844e-03,0,0
-1.99840e-03,0,0
-1.99836e-03,0,0
-1.99832e-03,0,0
-1.99828e-03,0,-0.8
-1.99824e-03,0,0
-1.99820e-03,0,0
-1.99816e-03,0,0
-1.99812e-03,0,0
-1.99808e-03,0,0
-1.99804e-03,0,0
-1.99800e-03,0.04,0
-1.99796e-03,0,0
-1.99792e-03,0,0
-1.99788e-03,0,0
-1.99784e-03,0,0
-1.99780e-03,0,0
-1.99776e-03,0,0
-1.99772e-03,0,0
-1.99768e-03,0,0
-1.99764e-03,0,0
-1.99760e-03,0,0
-1.99756e-03,0,0
-1.99752e-03,0,0
-1.99748e-03,0,0
-1.99744e-03,0,0
-1.99740e-03,0,0
-1.99736e-03,0,0
-1.99732e-03,0,0
-1.99728e-03,0,0
-1.99724e-03,0,0
-1.99720e-03,0,0
-1.99716e-03,0,0
-1.99712e-03,0,0
-1.99708e-03,0,0
-1.99704e-03,0,0
-1.99700e-03,0,-0.8
-1.99696e-03,0,-0.8
-1.99692e-03,0,0
-1.99688e-03,0,0
-1.99684e-03,0,0
-1.99680e-03,0.04,0
-1.99676e-03,0,0
-1.99672e-03,0,0
-1.99668e-03,0,0
-1.99664e-03,0,0
-1.99660e-03,0,0
-1.99656e-03,0,0
-1.99652e-03,0,0
-1.99648e-03,0,0
-1.99644e-03,0,0
-1.99640e-03,0,0
-1.99636e-03,0,0
-1.99632e-03,0,0
-1.99628e-03,0,0
-1.99624e-03,0,0
-1.99620e-03,0,0
-1.99616e-03,0,0
-1.99612e-03,0,0
-1.99608e-03,0,0
-1.99604e-03,0,0
-1.99600e-03,0,0
-1.99596e-03,0,0
-1.99592e-03,0,0
-1.99588e-03,0,0
-1.99584e-03,0,0
