frequency,v1,v2,t
10,161,0,
100,163,0,
1.00E+03,162,0,
1.00E+04,162,0,
2.00E+04,162,0,
5.00E+04,168,0.6,6.00E+03
1.00E+05,164,1.45,7.60E+03
2.00E+05,164,3,-1.30E+03
5.00E+05,162,9,-4.80E+02
6.00E+05,162,11.7,-3.70E+02
7.00E+05,160,16,-3.20E+02
8.00E+05,160,23,-2.70E+02
9.00E+05,156,34,-2.18E+02
9.50E+05,154,45.5,-1.80E+02
9.60E+05,152,48.2,-1.76E+02
9.70E+05,151,51.1,-1.64E+02
9.80E+05,151,54.4,-1.60E+02
9.90E+05,149,57.7,-1.48E+02
1.00E+06,149,66,-1.28E+02
1.05E+06,140,77.7,-5.00E+01
1.06E+06,138,79,-2.80E+01
1.07E+06,137,79.2,0.00E+00
1.08E+06,135,80,0.00E+00
1.09E+06,137,79,2.00E+01
1.10E+06,138,85,4.60E+01
1.20E+06,150,55,1.32E+02
1.30E+06,153,35.7,1.48E+02
1.40E+06,154,26,1.50E+02
1.50E+06,155,20.8,1.40E+02
1.60E+06,154,17,1.38E+02
1.70E+06,154,14.3,1.30E+02
1.80E+06,153,12.2,1.27E+02
1.90E+06,152,11,1.20E+02
2.00E+06,154,10,-3.84E+02
3.00E+06,144,4.2,-2.52E+02
4.00E+06,134,1,1.90E+02
