frequency,v1,v2,t
20,258.5,3.2,-1.30E-02
5.00E+01,256.5,8,-5.00E-03
1.00E+02,257,16,-2.40E-03
2.00E+02,257.5,32,-1.16E-03
5.00E+02,256.5,77,1.60E-03
1.00E+03,256,136.5,-1.60E-04
2.00E+03,257,198,4.44E-04
5.00E+03,256.5,244,-1.10E-05
1.00E+04,255,257.5,0.00E+00
1.00E+05,251.5,252,0.00E+00
2.00E+05,256.5,255.5,0.00E+00
6.00E+03,256,247.5,-7.20E-06
7.00E+02,257.5,103.5,-2.64E-04
4.00E+03,256.5,239,2.34E-04
3.00E+03,256,225.5,-2.60E-05
3.00E+02,257.5,47,-7.40E-04
4.00E+02,257,63.5,-5.40E-04
1.00E+06,251.5,252,0
