frequency,v1,v2,t
10,250,251,0
1.00E+02,251.5,251.5,0
2.00E+02,251,250,1.00E-04
5.00E+02,250.5,240,9.80E-05
1.00E+03,250,212.5,8.80E-05
2.00E+03,250,161,6.90E-05
5.00E+03,249,80,3.90E-05
1.00E+04,250,41,2.20E-05
2.00E+04,248.5,21,1.15E-05
5.00E+04,248.5,8,4.80E-06
1.00E+05,248,3.75,-7.80E-06
6.00E+02,250,235,9.60E-05
7.00E+02,250,232,9.20E-05
8.00E+02,250,225,9.20E-05
9.00E+02,250,219,9.00E-05
1.10E+03,250,207,8.60E-05
1.20E+03,250,201.5,8.40E-05
3.00E+03,249,118.5,5.70E-05
3.00E+02,250,248.5,1.00E-04
4.00E+02,249,245,9.20E-05
1.50E+03,250,185,7.80E-05
2.50E+03,250,136,6.40E-05
3.50E+03,250,105,5.20E-05
