X,CH1
Second,Volt,
-1.1999999406e-03,-8.60e-01
-1.1960000265e-03,-8.40e-01
-1.1919999961e-03,-8.60e-01
-1.1879999656e-03,-8.40e-01
-1.1840000516e-03,-8.60e-01
-1.1800000211e-03,-8.40e-01
-1.1759999907e-03,-8.40e-01
-1.1719999602e-03,-8.60e-01
-1.1680000462e-03,-8.40e-01
-1.1640000157e-03,-8.60e-01
-1.1599999852e-03,-8.40e-01
-1.1559999548e-03,-8.60e-01
-1.1520000407e-03,-8.40e-01
-1.1480000103e-03,-8.60e-01
-1.1439999798e-03,-8.40e-01
-1.1399999494e-03,-8.60e-01
-1.1360000353e-03,-8.40e-01
-1.1320000049e-03,-8.60e-01
-1.1279999744e-03,-8.60e-01
-1.1239999440e-03,-8.40e-01
-1.1200000299e-03,-8.40e-01
-1.1159999995e-03,-8.60e-01
-1.1119999690e-03,-8.60e-01
-1.1080000550e-03,-8.40e-01
-1.1040000245e-03,-8.40e-01
-1.0999999940e-03,-8.60e-01
-1.0959999636e-03,-8.60e-01
-1.0920000495e-03,-8.40e-01
-1.0880000191e-03,-8.40e-01
-1.0839999886e-03,-8.60e-01
-1.0799999582e-03,-8.60e-01
-1.0760000441e-03,-8.40e-01
-1.0720000137e-03,-8.40e-01
-1.0679999832e-03,-8.60e-01
-1.0639999527e-03,-8.40e-01
-1.0600000387e-03,-8.60e-01
-1.0560000082e-03,-8.60e-01
-1.0519999778e-03,-8.40e-01
-1.0479999473e-03,-8.60e-01
-1.0440000333e-03,-8.40e-01
-1.0400000028e-03,-8.60e-01
-1.0359999724e-03,-8.40e-01
-1.0319999419e-03,-8.60e-01
-1.0280000279e-03,-8.40e-01
-1.0239999974e-03,-8.40e-01
-1.0199999670e-03,-8.60e-01
-1.0160000529e-03,-8.40e-01
-1.0120000225e-03,-8.60e-01
-1.0079999920e-03,-8.60e-01
-1.0039999615e-03,-8.40e-01
-1.0000000475e-03,-8.40e-01
-9.9600001704e-04,-8.60e-01
-9.9199998658e-04,-8.60e-01
-9.8799995612e-04,-8.40e-01
-9.8400004208e-04,-8.40e-01
-9.8000001162e-04,-8.60e-01
-9.7599998116e-04,-8.60e-01
-9.7200000891e-04,-8.40e-01
-9.6799997846e-04,-8.60e-01
-9.6400000621e-04,-8.40e-01
-9.5999997575e-04,-8.40e-01
-9.5600000350e-04,-8.60e-01
-9.5199997304e-04,-8.60e-01
-9.4800000079e-04,-8.40e-01
-9.4399997033e-04,-8.60e-01
-9.3999999808e-04,-8.40e-01
-9.3600002583e-04,-8.60e-01
-9.3199999537e-04,-8.40e-01
-9.2800002312e-04,-8.60e-01
-9.2399999266e-04,-8.40e-01
-9.2000002041e-04,-8.40e-01
-9.1599998996e-04,-8.60e-01
-9.1200001771e-04,-8.40e-01
-9.0799998725e-04,-8.60e-01
-9.0400001500e-04,-8.60e-01
-8.9999998454e-04,-8.40e-01
-8.9600001229e-04,-8.60e-01
-8.9199998183e-04,-8.40e-01
-8.8800000958e-04,-8.40e-01
-8.8399997912e-04,-8.60e-01
-8.8000000687e-04,-8.40e-01
-8.7599997642e-04,-8.60e-01
-8.7200000416e-04,-8.60e-01
-8.6799997371e-04,-8.40e-01
-8.6400000146e-04,-8.40e-01
-8.5999997100e-04,-8.60e-01
-8.5599999875e-04,-8.40e-01
-8.5200002650e-04,-8.60e-01
-8.4799999604e-04,-8.40e-01
-8.4400002379e-04,-8.60e-01
-8.3999999333e-04,-8.60e-01
-8.3600002108e-04,-8.40e-01
-8.3199999062e-04,-8.60e-01
-8.2800001837e-04,-8.40e-01
-8.2399998792e-04,-8.40e-01
-8.2000001566e-04,-8.60e-01
-8.1599998521e-04,-8.40e-01
-8.1200001296e-04,-8.60e-01
-8.0799998250e-04,-8.60e-01
-8.0400001025e-04,-8.40e-01
-7.9999997979e-04,-8.40e-01
-7.9600000754e-04,-8.60e-01
-7.9199997708e-04,-8.60e-01
-7.8800000483e-04,-8.40e-01
-7.8399997437e-04,-8.40e-01
-7.8000000212e-04,-8.60e-01
-7.7599997167e-04,-8.40e-01
