Freq.	V(n003)
1.00000000000000e+03	9.99340345571607e-01,-3.40318861886885e-02
1.12201845430196e+03	9.99184480094282e-01,-3.81825791545364e-02
1.25892541179417e+03	9.98988264691175e-01,-4.28389804746174e-02
1.41253754462275e+03	9.98741256180929e-01,-4.80624854810793e-02
1.58489319246111e+03	9.98430309964462e-01,-5.39218529127841e-02
1.77827941003892e+03	9.98038882063130e-01,-6.04940506793475e-02
1.99526231496888e+03	9.97546151307077e-01,-6.78651831413741e-02
2.23872113856834e+03	9.96925915605838e-01,-7.61315009552268e-02
2.51188643150958e+03	9.96145204588182e-01,-8.54004910230658e-02
2.81838293126445e+03	9.95162536394679e-01,-9.57920386796791e-02
3.16227766016838e+03	9.93925728386887e-01,-1.07439646115540e-01
3.54813389233575e+03	9.92369149214065e-01,-1.20491679028617e-01
3.98107170553497e+03	9.90410272115533e-01,-1.35112596004928e-01
4.46683592150963e+03	9.87945355427370e-01,-1.51484089902815e-01
5.01187233627272e+03	9.84844034697536e-01,-1.69806034427689e-01
5.62341325190348e+03	9.80942560023971e-01,-1.90297077764665e-01
6.30957344480192e+03	9.76035350262058e-01,-2.13194652454961e-01
7.07945784384137e+03	9.69864459993483e-01,-2.38754067935827e-01
7.94328234724280e+03	9.62106461781323e-01,-2.67246206585551e-01
8.91250938133744e+03	9.52356129090099e-01,-2.98953136382355e-01
9.99999999999999e+03	9.40106153780206e-01,-3.34160652277618e-01
1.12201845430196e+04	9.24721928123746e-01,-3.73146310520402e-01
1.25892541179417e+04	9.05410135186941e-01,-4.16160826831578e-01
1.41253754462275e+04	8.81179481874626e-01,-4.63399579021992e-01
1.58489319246111e+04	8.50791342718484e-01,-5.14959003239828e-01
1.77827941003892e+04	8.12697425967655e-01,-5.70769122543176e-01
1.99526231496888e+04	7.64961306316745e-01,-6.30486744916677e-01
2.23872113856833e+04	7.05162630427120e-01,-6.93321063430594e-01
2.51188643150957e+04	6.30292825149280e-01,-7.57739465824487e-01
2.81838293126445e+04	5.36685790315266e-01,-8.20960148073613e-01
3.16227766016837e+04	4.20128655350584e-01,-8.78082128252914e-01
3.54813389233575e+04	2.76556967171213e-01,-9.20688235777245e-01
3.98107170553496e+04	1.04272543477168e-01,-9.35037338480047e-01
4.46683592150962e+04	-9.07835344767109e-02,-9.01274161420085e-01
5.01187233627271e+04	-2.86462497887476e-01,-7.98300861122661e-01
5.62341325190348e+04	-4.40226666000647e-01,-6.20672312674426e-01
6.30957344480192e+04	-5.07430429142136e-01,-3.99729605036406e-01
7.07945784384136e+04	-4.79174039635950e-01,-1.95202922512113e-01
7.94328234724279e+04	-3.91302074194064e-01,-5.13693055360271e-02
8.91250938133743e+04	-2.89722395194379e-01,2.70710957094898e-02
9.99999999999997e+04	-2.01785955595975e-01,5.89037495542708e-02
1.12201845430196e+05	-1.35485841968111e-01,6.47658963025238e-02
1.25892541179416e+05	-8.90098034507155e-02,5.87870266368973e-02
1.41253754462275e+05	-5.77110089753032e-02,4.87800544214987e-02
1.58489319246111e+05	-3.71113183368902e-02,3.84870327690593e-02
1.77827941003892e+05	-2.37376513601892e-02,2.94315919438288e-02
1.99526231496887e+05	-1.51289610489777e-02,2.20465710152499e-02
2.23872113856833e+05	-9.61817147970246e-03,1.62804111486783e-02
2.51188643150957e+05	-6.10371573438501e-03,1.19003040813278e-02
2.81838293126444e+05	-3.86830640221904e-03,8.63388154485745e-03
3.16227766016837e+05	-2.44915410834608e-03,6.22922605908697e-03
3.54813389233574e+05	-1.54947042836505e-03,4.47539626645181e-03
3.98107170553496e+05	-9.79711608501391e-04,3.20500796318755e-03
4.46683592150961e+05	-6.19181196010560e-04,2.28953574749014e-03
5.01187233627270e+05	-3.91187429106802e-04,1.63240597981874e-03
5.62341325190347e+05	-2.47077220648709e-04,1.16213262083100e-03
6.30957344480191e+05	-1.56022339387067e-04,8.26364684578831e-04
7.07945784384135e+05	-9.85069862557900e-05,5.87064920545955e-04
7.94328234724278e+05	-6.21854837933580e-05,4.16758339328485e-04
8.91250938133741e+05	-3.92522864516734e-05,2.95687567982933e-04
1.00000000000000e+06	-2.47744758160096e-05,2.09693434520987e-04
